"anno","perstype","unempl","popul"
2000,auslaendisch,21907,452957
2000,deutsch,43361,1333848
2000,gesamt,65279,1786814
2000,maennlich,36506,897451
2000,weiblich,28761,889352
2001,auslaendisch,21776,466098
2001,deutsch,40776,1339072
2001,gesamt,62559,1805178
2001,maennlich,35105,906850
2001,weiblich,27449,898319
2002,auslaendisch,28362,470940
2002,deutsch,52047,1337107
2002,gesamt,80421,1808056
2002,maennlich,46136,907439
2002,weiblich,34275,900604
2003,auslaendisch,34115,478542
2003,deutsch,61583,1328354
2003,gesamt,95704,1806908
2003,maennlich,55021,906288
2003,weiblich,40675,900606
2004,auslaendisch,33030,477949
2004,deutsch,59166,1319446
2004,gesamt,92205,1797401
2004,maennlich,51762,899292
2004,weiblich,40432,898105
2005,auslaendisch,46199,487021
2005,deutsch,73504,1319271
2005,gesamt,119787,1806298
2005,maennlich,63909,902414
2005,weiblich,55871,903874
2006,auslaendisch,41634,496484
2006,deutsch,63995,1352926
2006,gesamt,105873,1849420
2006,maennlich,56080,922517
2006,weiblich,49784,926895
2007,auslaendisch,33730,506690
2007,deutsch,52806,1382063
2007,gesamt,86732,1888759
2007,maennlich,45145,942182
2007,weiblich,41574,946570
2008,auslaendisch,29300,515090
2008,deutsch,46242,1394505
2008,gesamt,75801,1909602
2008,maennlich,39644,952017
2008,weiblich,36143,957576
2009,auslaendisch,32614,502415
2009,deutsch,53231,1396459
2009,gesamt,86271,1898881
2009,maennlich,47248,944409
2009,weiblich,39015,954462
2010,auslaendisch,31179,513564
2010,deutsch,49319,1402399
2010,gesamt,80737,1915977
2010,maennlich,43619,953172
2010,weiblich,37107,962794
2011,auslaendisch,29280,540280
2011,deutsch,44545,1416860
2011,gesamt,74000,1957148
2011,maennlich,38801,977870
2011,weiblich,35190,979270
2012,auslaendisch,29512,572223
2012,deutsch,43408,1428087
2012,gesamt,73094,2000321
2012,maennlich,38551,1003061
2012,weiblich,34532,997246
2013,auslaendisch,32047,602733
2013,deutsch,45691,1434436
2013,gesamt,77886,2037180
2013,maennlich,40998,1022972
2013,weiblich,36876,1014195
2014,auslaendisch,33976,637067
2014,deutsch,46328,1437145
2014,gesamt,80436,2074220
2014,maennlich,42684,1044483
2014,weiblich,37746,1029728
2015,auslaendisch,33741,674970
2015,deutsch,44264,1439348
2015,gesamt,78132,2114328
2015,maennlich,41776,1069091
2015,weiblich,36346,1045224
